Palabra,Fonema,AudioID,Dataset
now,ʌ,arctic_a0429,cmu_us_awb_arctic
psychology,ɪ,arctic_a0429,cmu_us_awb_arctic
of,ʌ,arctic_a0429,cmu_us_awb_arctic
situation,ɪ,arctic_a0429,cmu_us_awb_arctic
of,ʌ,arctic_a0001,cmu_us_awb_arctic
philip,ɪ,arctic_a0001,cmu_us_awb_arctic
etc,ʌ,arctic_a0001,cmu_us_awb_arctic
such,ʌ,arctic_a0144,cmu_us_awb_arctic
things,ɪ,arctic_a0144,cmu_us_awb_arctic
occurred,ʌ,arctic_a0144,cmu_us_awb_arctic
before,ɪ,arctic_a0144,cmu_us_awb_arctic
philip,ɪ,arctic_a0144,cmu_us_awb_arctic
i,ɪ,arctic_b0116,cmu_us_awb_arctic
hunted,ɪ,arctic_b0116,cmu_us_awb_arctic
this,ɪ,arctic_b0116,cmu_us_awb_arctic
ridge,ɪ,arctic_b0116,cmu_us_awb_arctic
replied,ɪ,arctic_b0116,cmu_us_awb_arctic
philip,ɪ,arctic_b0116,cmu_us_awb_arctic
now,ʌ,arctic_a0571,cmu_us_awb_arctic
irvine,ɪ,arctic_a0571,cmu_us_awb_arctic
of,ʌ,arctic_a0571,cmu_us_awb_arctic
impulse,ɪ,arctic_a0571,cmu_us_awb_arctic
poet,ɪ,arctic_a0571,cmu_us_awb_arctic
fired,ɪ,arctic_b0258,cmu_us_awb_arctic
out,ʌ,arctic_b0258,cmu_us_awb_arctic
of,ʌ,arctic_b0258,cmu_us_awb_arctic
house,ʌ,arctic_b0258,cmu_us_awb_arctic
in,ɪ,arctic_b0258,cmu_us_awb_arctic
how,ʌ,arctic_b0400,cmu_us_awb_arctic
i,ɪ,arctic_b0400,cmu_us_awb_arctic
spur,ʌ,arctic_b0400,cmu_us_awb_arctic
of,ʌ,arctic_b0400,cmu_us_awb_arctic
but,ʌ,arctic_a0287,cmu_us_awb_arctic
what,ʌ,arctic_a0287,cmu_us_awb_arctic
with,ɪ,arctic_a0287,cmu_us_awb_arctic
toothbrush,ʌ,arctic_a0287,cmu_us_awb_arctic
is,ɪ,arctic_a0287,cmu_us_awb_arctic
i,ɪ,arctic_a0287,cmu_us_awb_arctic
imagine,ɪ,arctic_a0287,cmu_us_awb_arctic
i,ɪ,arctic_a0145,cmu_us_awb_arctic
it,ɪ,arctic_a0430,cmu_us_awb_arctic
deportation,ɪ,arctic_a0430,cmu_us_awb_arctic
young,ʌ,arctic_b0117,cmu_us_awb_arctic
engineer,ɪ,arctic_b0117,cmu_us_awb_arctic
this,ɪ,arctic_a0002,cmu_us_awb_arctic
particular,ɪ,arctic_a0002,cmu_us_awb_arctic
apologized,ɪ,arctic_a0002,cmu_us_awb_arctic
whittemore,ɪ,arctic_a0002,cmu_us_awb_arctic
just,ʌ,arctic_a0572,cmu_us_awb_arctic
bursting,ɪ,arctic_a0572,cmu_us_awb_arctic
with,ɪ,arctic_a0572,cmu_us_awb_arctic
joy,ɪ,arctic_a0572,cmu_us_awb_arctic
joy,ɪ,arctic_a0572,cmu_us_awb_arctic
what,ʌ,arctic_a0572,cmu_us_awb_arctic
i,ɪ,arctic_b0401,cmu_us_awb_arctic
it,ɪ,arctic_b0401,cmu_us_awb_arctic
myself,ɪ,arctic_b0401,cmu_us_awb_arctic
in,ɪ,arctic_b0401,cmu_us_awb_arctic
english,ɪ,arctic_b0401,cmu_us_awb_arctic
ships,ɪ,arctic_b0401,cmu_us_awb_arctic
mouth,ʌ,arctic_b0259,cmu_us_awb_arctic
but,ʌ,arctic_b0259,cmu_us_awb_arctic
instead,ɪ,arctic_b0259,cmu_us_awb_arctic
of,ʌ,arctic_b0259,cmu_us_awb_arctic
speaking,ɪ,arctic_b0259,cmu_us_awb_arctic
sigh,ɪ,arctic_b0259,cmu_us_awb_arctic
but,ʌ,arctic_a0146,cmu_us_awb_arctic
something,ɪ,arctic_a0146,cmu_us_awb_arctic
startling,ɪ,arctic_a0146,cmu_us_awb_arctic
this,ɪ,arctic_a0146,cmu_us_awb_arctic
resemblance,ɪ,arctic_a0146,cmu_us_awb_arctic
quick,ɪ,arctic_a0431,cmu_us_awb_arctic
disappointment,ɪ,arctic_a0431,cmu_us_awb_arctic
in,ɪ,arctic_a0431,cmu_us_awb_arctic
his,ɪ,arctic_a0431,cmu_us_awb_arctic
smiling,ɪ,arctic_a0431,cmu_us_awb_arctic
acquiescence,ɪ,arctic_a0431,cmu_us_awb_arctic
give,ɪ,arctic_a0288,cmu_us_awb_arctic
choice,ɪ,arctic_a0288,cmu_us_awb_arctic
between,ɪ,arctic_a0288,cmu_us_awb_arctic
fine,ɪ,arctic_a0288,cmu_us_awb_arctic
official,ɪ,arctic_a0288,cmu_us_awb_arctic
whipping,ɪ,arctic_a0288,cmu_us_awb_arctic
time,ɪ,arctic_a0003,cmu_us_awb_arctic
evening,ɪ,arctic_a0003,cmu_us_awb_arctic
light,ɪ,arctic_b0118,cmu_us_awb_arctic
mind,ɪ,arctic_b0118,cmu_us_awb_arctic
it,ɪ,arctic_b0260,cmu_us_awb_arctic
worth,ʌ,arctic_b0260,cmu_us_awb_arctic
linderman,ɪ,arctic_a0573,cmu_us_awb_arctic
i,ɪ,arctic_a0573,cmu_us_awb_arctic
one,ʌ,arctic_a0573,cmu_us_awb_arctic
peterborough,ʌ,arctic_a0573,cmu_us_awb_arctic
eye,ɪ,arctic_a0289,cmu_us_awb_arctic
him,ɪ,arctic_a0289,cmu_us_awb_arctic
altruistic,ɪ,arctic_b0402,cmu_us_awb_arctic
is,ɪ,arctic_b0402,cmu_us_awb_arctic
of,ʌ,arctic_b0402,cmu_us_awb_arctic
others,ʌ,arctic_b0402,cmu_us_awb_arctic
billinger,ɪ,arctic_b0119,cmu_us_awb_arctic
arrive,ɪ,arctic_b0119,cmu_us_awb_arctic
in,ɪ,arctic_b0119,cmu_us_awb_arctic
time,ɪ,arctic_b0119,cmu_us_awb_arctic
did,ɪ,arctic_b0261,cmu_us_awb_arctic
hurt,ʌ,arctic_b0261,cmu_us_awb_arctic
my,ɪ,arctic_b0261,cmu_us_awb_arctic
but,ʌ,arctic_a0004,cmu_us_awb_arctic
i,ɪ,arctic_a0004,cmu_us_awb_arctic
phil,ɪ,arctic_a0004,cmu_us_awb_arctic
i,ɪ,arctic_a0147,cmu_us_awb_arctic
of,ʌ,arctic_a0147,cmu_us_awb_arctic
tear,ɪ,arctic_a0147,cmu_us_awb_arctic
my,ɪ,arctic_a0290,cmu_us_awb_arctic
oysters,ɪ,arctic_a0290,cmu_us_awb_arctic
nevertheless,ʌ,arctic_a0432,cmu_us_awb_arctic
found,ʌ,arctic_a0432,cmu_us_awb_arctic
once,ʌ,arctic_a0432,cmu_us_awb_arctic
in,ɪ,arctic_a0432,cmu_us_awb_arctic
high,ɪ,arctic_a0432,cmu_us_awb_arctic
