Palabra,Fonema,AudioID,Dataset
psychology,ɪ,arctic_a0427,cmu_us_bdl_arctic
of,ʌ,arctic_a0427,cmu_us_bdl_arctic
situation,ɪ,arctic_a0427,cmu_us_bdl_arctic
i,ɪ,arctic_a0143,cmu_us_bdl_arctic
had,æ,arctic_a0143,cmu_us_bdl_arctic
exclaimed,ɪ,arctic_a0143,cmu_us_bdl_arctic
of,ʌ,arctic_a0001,cmu_us_bdl_arctic
danger,ɪ,arctic_a0001,cmu_us_bdl_arctic
trail,ɪ,arctic_a0001,cmu_us_bdl_arctic
philip,ɪ,arctic_a0001,cmu_us_bdl_arctic
fired,ɪ,arctic_b0258,cmu_us_bdl_arctic
of,ʌ,arctic_b0258,cmu_us_bdl_arctic
in,ɪ,arctic_b0258,cmu_us_bdl_arctic
that,æ,arctic_b0117,cmu_us_bdl_arctic
young,ʌ,arctic_b0117,cmu_us_bdl_arctic
engineer,ɪ,arctic_b0117,cmu_us_bdl_arctic
looking,ɪ,arctic_b0399,cmu_us_bdl_arctic
squeamish,ɪ,arctic_b0399,cmu_us_bdl_arctic
this,ɪ,arctic_b0399,cmu_us_bdl_arctic
afternoon,æ,arctic_b0399,cmu_us_bdl_arctic
began,æ,arctic_b0399,cmu_us_bdl_arctic
at,æ,arctic_a0569,cmu_us_bdl_arctic
lake,ɪ,arctic_a0569,cmu_us_bdl_arctic
linderman,ɪ,arctic_a0569,cmu_us_bdl_arctic
i,ɪ,arctic_a0569,cmu_us_bdl_arctic
had,æ,arctic_a0569,cmu_us_bdl_arctic
one,ʌ,arctic_a0569,cmu_us_bdl_arctic
peterborough,ʌ,arctic_a0569,cmu_us_bdl_arctic
it,ɪ,arctic_a0428,cmu_us_bdl_arctic
was,ʌ,arctic_a0428,cmu_us_bdl_arctic
exactly,æ,arctic_a0428,cmu_us_bdl_arctic
a,ɪ,arctic_a0428,cmu_us_bdl_arctic
deportation,ɪ,arctic_a0428,cmu_us_bdl_arctic
but,ʌ,arctic_a0285,cmu_us_bdl_arctic
what,ʌ,arctic_a0285,cmu_us_bdl_arctic
they,ɪ,arctic_a0285,cmu_us_bdl_arctic
with,ɪ,arctic_a0285,cmu_us_bdl_arctic
toothbrush,ʌ,arctic_a0285,cmu_us_bdl_arctic
is,ɪ,arctic_a0285,cmu_us_bdl_arctic
i,ɪ,arctic_a0285,cmu_us_bdl_arctic
can,æ,arctic_a0285,cmu_us_bdl_arctic
imagine,æ,arctic_a0285,cmu_us_bdl_arctic
at,æ,arctic_a0002,cmu_us_bdl_arctic
this,ɪ,arctic_a0002,cmu_us_bdl_arctic
particular,ɪ,arctic_a0002,cmu_us_bdl_arctic
case,ɪ,arctic_a0002,cmu_us_bdl_arctic
apologized,ɪ,arctic_a0002,cmu_us_bdl_arctic
whittemore,ɪ,arctic_a0002,cmu_us_bdl_arctic
but,ʌ,arctic_a0144,cmu_us_bdl_arctic
was,ʌ,arctic_a0144,cmu_us_bdl_arctic
something,ɪ,arctic_a0144,cmu_us_bdl_arctic
startling,ɪ,arctic_a0144,cmu_us_bdl_arctic
this,ɪ,arctic_a0144,cmu_us_bdl_arctic
resemblance,ɪ,arctic_a0144,cmu_us_bdl_arctic
but,ʌ,arctic_b0259,cmu_us_bdl_arctic
instead,ɪ,arctic_b0259,cmu_us_bdl_arctic
of,ʌ,arctic_b0259,cmu_us_bdl_arctic
speaking,ɪ,arctic_b0259,cmu_us_bdl_arctic
a,ɪ,arctic_b0259,cmu_us_bdl_arctic
sigh,ɪ,arctic_b0259,cmu_us_bdl_arctic
light,ɪ,arctic_b0118,cmu_us_bdl_arctic
and,æ,arctic_b0118,cmu_us_bdl_arctic
mind,ɪ,arctic_b0118,cmu_us_bdl_arctic
a,ɪ,arctic_b0118,cmu_us_bdl_arctic
i,ɪ,arctic_b0400,cmu_us_bdl_arctic
answer,æ,arctic_b0400,cmu_us_bdl_arctic
of,ʌ,arctic_b0400,cmu_us_bdl_arctic
it,ɪ,arctic_b0260,cmu_us_bdl_arctic
eight,ɪ,arctic_b0260,cmu_us_bdl_arctic
behind,ɪ,arctic_a0570,cmu_us_bdl_arctic
him,ɪ,arctic_a0570,cmu_us_bdl_arctic
lay,ɪ,arctic_a0570,cmu_us_bdl_arctic
years,ɪ,arctic_a0570,cmu_us_bdl_arctic
siberia,ɪ,arctic_a0570,cmu_us_bdl_arctic
and,æ,arctic_a0570,cmu_us_bdl_arctic
russia,ʌ,arctic_a0570,cmu_us_bdl_arctic
give,ɪ,arctic_a0286,cmu_us_bdl_arctic
choice,ɪ,arctic_a0286,cmu_us_bdl_arctic
between,ɪ,arctic_a0286,cmu_us_bdl_arctic
a,ɪ,arctic_a0286,cmu_us_bdl_arctic
fine,ɪ,arctic_a0286,cmu_us_bdl_arctic
an,æ,arctic_a0286,cmu_us_bdl_arctic
official,ɪ,arctic_a0286,cmu_us_bdl_arctic
whipping,ɪ,arctic_a0286,cmu_us_bdl_arctic
billinger,ɪ,arctic_b0119,cmu_us_bdl_arctic
may,ɪ,arctic_b0119,cmu_us_bdl_arctic
arrive,ɪ,arctic_b0119,cmu_us_bdl_arctic
in,ɪ,arctic_b0119,cmu_us_bdl_arctic
time,ɪ,arctic_b0119,cmu_us_bdl_arctic
time,ɪ,arctic_a0003,cmu_us_bdl_arctic
that,æ,arctic_a0003,cmu_us_bdl_arctic
evening,ɪ,arctic_a0003,cmu_us_bdl_arctic
hands,æ,arctic_a0003,cmu_us_bdl_arctic
quick,ɪ,arctic_a0429,cmu_us_bdl_arctic
was,ʌ,arctic_a0429,cmu_us_bdl_arctic
disappointment,ɪ,arctic_a0429,cmu_us_bdl_arctic
in,ɪ,arctic_a0429,cmu_us_bdl_arctic
his,ɪ,arctic_a0429,cmu_us_bdl_arctic
face,ɪ,arctic_a0429,cmu_us_bdl_arctic
smiling,ɪ,arctic_a0429,cmu_us_bdl_arctic
was,ʌ,arctic_a0429,cmu_us_bdl_arctic
acquiescence,æ,arctic_a0429,cmu_us_bdl_arctic
i,ɪ,arctic_b0401,cmu_us_bdl_arctic
it,ɪ,arctic_b0401,cmu_us_bdl_arctic
myself,ɪ,arctic_b0401,cmu_us_bdl_arctic
in,ɪ,arctic_b0401,cmu_us_bdl_arctic
english,ɪ,arctic_b0401,cmu_us_bdl_arctic
ships,ɪ,arctic_b0401,cmu_us_bdl_arctic
i,ɪ,arctic_a0145,cmu_us_bdl_arctic
have,æ,arctic_a0145,cmu_us_bdl_arctic
of,ʌ,arctic_a0145,cmu_us_bdl_arctic
as,æ,arctic_a0145,cmu_us_bdl_arctic
they,ɪ,arctic_a0145,cmu_us_bdl_arctic
tear,ɪ,arctic_a0145,cmu_us_bdl_arctic
easily,ɪ,arctic_a0145,cmu_us_bdl_arctic
an,æ,arctic_a0287,cmu_us_bdl_arctic
eye,ɪ,arctic_a0287,cmu_us_bdl_arctic
him,ɪ,arctic_a0287,cmu_us_bdl_arctic
and,æ,arctic_b0261,cmu_us_bdl_arctic
did,ɪ,arctic_b0261,cmu_us_bdl_arctic
my,ɪ,arctic_b0261,cmu_us_bdl_arctic
hitch,ɪ,arctic_b0120,cmu_us_bdl_arctic
replied,ɪ,arctic_b0120,cmu_us_bdl_arctic
rolling,ɪ,arctic_b0120,cmu_us_bdl_arctic
a,ɪ,arctic_b0120,cmu_us_bdl_arctic
cigarette,ɪ,arctic_b0120,cmu_us_bdl_arctic
had,æ,arctic_a0571,cmu_us_bdl_arctic
