Palabra,Fonema,AudioID,Dataset
i,ɪ,arctic_a0143,cmu_us_clb_arctic
had,æ,arctic_a0143,cmu_us_clb_arctic
exclaimed,ɪ,arctic_a0143,cmu_us_clb_arctic
that,æ,arctic_b0117,cmu_us_clb_arctic
young,ʌ,arctic_b0117,cmu_us_clb_arctic
engineer,ɪ,arctic_b0117,cmu_us_clb_arctic
psychology,ɪ,arctic_a0427,cmu_us_clb_arctic
of,ʌ,arctic_a0427,cmu_us_clb_arctic
situation,ɪ,arctic_a0427,cmu_us_clb_arctic
looking,ɪ,arctic_b0399,cmu_us_clb_arctic
squeamish,ɪ,arctic_b0399,cmu_us_clb_arctic
this,ɪ,arctic_b0399,cmu_us_clb_arctic
afternoon,æ,arctic_b0399,cmu_us_clb_arctic
began,æ,arctic_b0399,cmu_us_clb_arctic
of,ʌ,arctic_a0001,cmu_us_clb_arctic
danger,ɪ,arctic_a0001,cmu_us_clb_arctic
trail,ɪ,arctic_a0001,cmu_us_clb_arctic
philip,ɪ,arctic_a0001,cmu_us_clb_arctic
fired,ɪ,arctic_b0258,cmu_us_clb_arctic
of,ʌ,arctic_b0258,cmu_us_clb_arctic
in,ɪ,arctic_b0258,cmu_us_clb_arctic
at,æ,arctic_a0569,cmu_us_clb_arctic
lake,ɪ,arctic_a0569,cmu_us_clb_arctic
linderman,ɪ,arctic_a0569,cmu_us_clb_arctic
i,ɪ,arctic_a0569,cmu_us_clb_arctic
had,æ,arctic_a0569,cmu_us_clb_arctic
one,ʌ,arctic_a0569,cmu_us_clb_arctic
peterborough,ʌ,arctic_a0569,cmu_us_clb_arctic
but,ʌ,arctic_a0285,cmu_us_clb_arctic
what,ʌ,arctic_a0285,cmu_us_clb_arctic
they,ɪ,arctic_a0285,cmu_us_clb_arctic
with,ɪ,arctic_a0285,cmu_us_clb_arctic
toothbrush,ʌ,arctic_a0285,cmu_us_clb_arctic
is,ɪ,arctic_a0285,cmu_us_clb_arctic
i,ɪ,arctic_a0285,cmu_us_clb_arctic
can,æ,arctic_a0285,cmu_us_clb_arctic
imagine,æ,arctic_a0285,cmu_us_clb_arctic
it,ɪ,arctic_a0428,cmu_us_clb_arctic
was,ʌ,arctic_a0428,cmu_us_clb_arctic
exactly,æ,arctic_a0428,cmu_us_clb_arctic
a,ɪ,arctic_a0428,cmu_us_clb_arctic
deportation,ɪ,arctic_a0428,cmu_us_clb_arctic
but,ʌ,arctic_a0144,cmu_us_clb_arctic
was,ʌ,arctic_a0144,cmu_us_clb_arctic
something,ɪ,arctic_a0144,cmu_us_clb_arctic
startling,ɪ,arctic_a0144,cmu_us_clb_arctic
this,ɪ,arctic_a0144,cmu_us_clb_arctic
resemblance,ɪ,arctic_a0144,cmu_us_clb_arctic
at,æ,arctic_a0002,cmu_us_clb_arctic
this,ɪ,arctic_a0002,cmu_us_clb_arctic
particular,ɪ,arctic_a0002,cmu_us_clb_arctic
case,ɪ,arctic_a0002,cmu_us_clb_arctic
apologized,ɪ,arctic_a0002,cmu_us_clb_arctic
whittemore,ɪ,arctic_a0002,cmu_us_clb_arctic
i,ɪ,arctic_b0400,cmu_us_clb_arctic
answer,æ,arctic_b0400,cmu_us_clb_arctic
of,ʌ,arctic_b0400,cmu_us_clb_arctic
light,ɪ,arctic_b0118,cmu_us_clb_arctic
and,æ,arctic_b0118,cmu_us_clb_arctic
mind,ɪ,arctic_b0118,cmu_us_clb_arctic
a,ɪ,arctic_b0118,cmu_us_clb_arctic
but,ʌ,arctic_b0259,cmu_us_clb_arctic
instead,ɪ,arctic_b0259,cmu_us_clb_arctic
of,ʌ,arctic_b0259,cmu_us_clb_arctic
speaking,ɪ,arctic_b0259,cmu_us_clb_arctic
a,ɪ,arctic_b0259,cmu_us_clb_arctic
sigh,ɪ,arctic_b0259,cmu_us_clb_arctic
give,ɪ,arctic_a0286,cmu_us_clb_arctic
choice,ɪ,arctic_a0286,cmu_us_clb_arctic
between,ɪ,arctic_a0286,cmu_us_clb_arctic
a,ɪ,arctic_a0286,cmu_us_clb_arctic
fine,ɪ,arctic_a0286,cmu_us_clb_arctic
an,æ,arctic_a0286,cmu_us_clb_arctic
official,ɪ,arctic_a0286,cmu_us_clb_arctic
whipping,ɪ,arctic_a0286,cmu_us_clb_arctic
behind,ɪ,arctic_a0570,cmu_us_clb_arctic
him,ɪ,arctic_a0570,cmu_us_clb_arctic
lay,ɪ,arctic_a0570,cmu_us_clb_arctic
years,ɪ,arctic_a0570,cmu_us_clb_arctic
siberia,ɪ,arctic_a0570,cmu_us_clb_arctic
and,æ,arctic_a0570,cmu_us_clb_arctic
russia,ʌ,arctic_a0570,cmu_us_clb_arctic
i,ɪ,arctic_b0401,cmu_us_clb_arctic
it,ɪ,arctic_b0401,cmu_us_clb_arctic
