Palabra,Fonema,AudioID,Dataset
psychology,ɪ,arctic_a0427,cmu_us_rms_arctic
of,ʌ,arctic_a0427,cmu_us_rms_arctic
situation,ɪ,arctic_a0427,cmu_us_rms_arctic
i,ɪ,arctic_a0143,cmu_us_rms_arctic
had,æ,arctic_a0143,cmu_us_rms_arctic
exclaimed,ɪ,arctic_a0143,cmu_us_rms_arctic
fired,ɪ,arctic_b0258,cmu_us_rms_arctic
of,ʌ,arctic_b0258,cmu_us_rms_arctic
in,ɪ,arctic_b0258,cmu_us_rms_arctic
that,æ,arctic_b0117,cmu_us_rms_arctic
young,ʌ,arctic_b0117,cmu_us_rms_arctic
engineer,ɪ,arctic_b0117,cmu_us_rms_arctic
of,ʌ,arctic_a0001,cmu_us_rms_arctic
danger,ɪ,arctic_a0001,cmu_us_rms_arctic
trail,ɪ,arctic_a0001,cmu_us_rms_arctic
philip,ɪ,arctic_a0001,cmu_us_rms_arctic
looking,ɪ,arctic_b0399,cmu_us_rms_arctic
squeamish,ɪ,arctic_b0399,cmu_us_rms_arctic
this,ɪ,arctic_b0399,cmu_us_rms_arctic
afternoon,æ,arctic_b0399,cmu_us_rms_arctic
began,æ,arctic_b0399,cmu_us_rms_arctic
at,æ,arctic_a0569,cmu_us_rms_arctic
lake,ɪ,arctic_a0569,cmu_us_rms_arctic
linderman,ɪ,arctic_a0569,cmu_us_rms_arctic
i,ɪ,arctic_a0569,cmu_us_rms_arctic
had,æ,arctic_a0569,cmu_us_rms_arctic
one,ʌ,arctic_a0569,cmu_us_rms_arctic
peterborough,ʌ,arctic_a0569,cmu_us_rms_arctic
it,ɪ,arctic_a0428,cmu_us_rms_arctic
was,ʌ,arctic_a0428,cmu_us_rms_arctic
exactly,æ,arctic_a0428,cmu_us_rms_arctic
a,ɪ,arctic_a0428,cmu_us_rms_arctic
deportation,ɪ,arctic_a0428,cmu_us_rms_arctic
but,ʌ,arctic_a0285,cmu_us_rms_arctic
what,ʌ,arctic_a0285,cmu_us_rms_arctic
they,ɪ,arctic_a0285,cmu_us_rms_arctic
with,ɪ,arctic_a0285,cmu_us_rms_arctic
toothbrush,ʌ,arctic_a0285,cmu_us_rms_arctic
is,ɪ,arctic_a0285,cmu_us_rms_arctic
i,ɪ,arctic_a0285,cmu_us_rms_arctic
can,æ,arctic_a0285,cmu_us_rms_arctic
imagine,æ,arctic_a0285,cmu_us_rms_arctic
but,ʌ,arctic_a0144,cmu_us_rms_arctic
was,ʌ,arctic_a0144,cmu_us_rms_arctic
something,ɪ,arctic_a0144,cmu_us_rms_arctic
startling,ɪ,arctic_a0144,cmu_us_rms_arctic
this,ɪ,arctic_a0144,cmu_us_rms_arctic
resemblance,ɪ,arctic_a0144,cmu_us_rms_arctic
at,æ,arctic_a0002,cmu_us_rms_arctic
this,ɪ,arctic_a0002,cmu_us_rms_arctic
particular,ɪ,arctic_a0002,cmu_us_rms_arctic
case,ɪ,arctic_a0002,cmu_us_rms_arctic
apologized,ɪ,arctic_a0002,cmu_us_rms_arctic
whittemore,ɪ,arctic_a0002,cmu_us_rms_arctic
light,ɪ,arctic_b0118,cmu_us_rms_arctic
and,æ,arctic_b0118,cmu_us_rms_arctic
mind,ɪ,arctic_b0118,cmu_us_rms_arctic
a,ɪ,arctic_b0118,cmu_us_rms_arctic
quick,ɪ,arctic_a0429,cmu_us_rms_arctic
was,ʌ,arctic_a0429,cmu_us_rms_arctic
disappointment,ɪ,arctic_a0429,cmu_us_rms_arctic
in,ɪ,arctic_a0429,cmu_us_rms_arctic
his,ɪ,arctic_a0429,cmu_us_rms_arctic
face,ɪ,arctic_a0429,cmu_us_rms_arctic
smiling,ɪ,arctic_a0429,cmu_us_rms_arctic
was,ʌ,arctic_a0429,cmu_us_rms_arctic
acquiescence,æ,arctic_a0429,cmu_us_rms_arctic
behind,ɪ,arctic_a0570,cmu_us_rms_arctic
him,ɪ,arctic_a0570,cmu_us_rms_arctic
lay,ɪ,arctic_a0570,cmu_us_rms_arctic
years,ɪ,arctic_a0570,cmu_us_rms_arctic
