Palabra,Fonema,AudioID,Dataset
psychology,ɪ,arctic_a0427,cmu_us_slt_arctic
of,ʌ,arctic_a0427,cmu_us_slt_arctic
situation,ɪ,arctic_a0427,cmu_us_slt_arctic
that,æ,arctic_b0117,cmu_us_slt_arctic
young,ʌ,arctic_b0117,cmu_us_slt_arctic
engineer,ɪ,arctic_b0117,cmu_us_slt_arctic
fired,ɪ,arctic_b0258,cmu_us_slt_arctic
of,ʌ,arctic_b0258,cmu_us_slt_arctic
in,ɪ,arctic_b0258,cmu_us_slt_arctic
i,ɪ,arctic_a0143,cmu_us_slt_arctic
had,æ,arctic_a0143,cmu_us_slt_arctic
exclaimed,ɪ,arctic_a0143,cmu_us_slt_arctic
of,ʌ,arctic_a0001,cmu_us_slt_arctic
danger,ɪ,arctic_a0001,cmu_us_slt_arctic
trail,ɪ,arctic_a0001,cmu_us_slt_arctic
philip,ɪ,arctic_a0001,cmu_us_slt_arctic
looking,ɪ,arctic_b0399,cmu_us_slt_arctic
squeamish,ɪ,arctic_b0399,cmu_us_slt_arctic
this,ɪ,arctic_b0399,cmu_us_slt_arctic
afternoon,æ,arctic_b0399,cmu_us_slt_arctic
began,æ,arctic_b0399,cmu_us_slt_arctic
at,æ,arctic_a0569,cmu_us_slt_arctic
lake,ɪ,arctic_a0569,cmu_us_slt_arctic
linderman,ɪ,arctic_a0569,cmu_us_slt_arctic
i,ɪ,arctic_a0569,cmu_us_slt_arctic
had,æ,arctic_a0569,cmu_us_slt_arctic
one,ʌ,arctic_a0569,cmu_us_slt_arctic
peterborough,ʌ,arctic_a0569,cmu_us_slt_arctic
it,ɪ,arctic_a0428,cmu_us_slt_arctic
was,ʌ,arctic_a0428,cmu_us_slt_arctic
exactly,æ,arctic_a0428,cmu_us_slt_arctic
a,ɪ,arctic_a0428,cmu_us_slt_arctic
deportation,ɪ,arctic_a0428,cmu_us_slt_arctic
but,ʌ,arctic_a0285,cmu_us_slt_arctic
what,ʌ,arctic_a0285,cmu_us_slt_arctic
they,ɪ,arctic_a0285,cmu_us_slt_arctic
with,ɪ,arctic_a0285,cmu_us_slt_arctic
toothbrush,ʌ,arctic_a0285,cmu_us_slt_arctic
is,ɪ,arctic_a0285,cmu_us_slt_arctic
i,ɪ,arctic_a0285,cmu_us_slt_arctic
can,æ,arctic_a0285,cmu_us_slt_arctic
imagine,æ,arctic_a0285,cmu_us_slt_arctic
but,ʌ,arctic_a0144,cmu_us_slt_arctic
was,ʌ,arctic_a0144,cmu_us_slt_arctic
something,ɪ,arctic_a0144,cmu_us_slt_arctic
startling,ɪ,arctic_a0144,cmu_us_slt_arctic
this,ɪ,arctic_a0144,cmu_us_slt_arctic
resemblance,ɪ,arctic_a0144,cmu_us_slt_arctic
at,æ,arctic_a0002,cmu_us_slt_arctic
this,ɪ,arctic_a0002,cmu_us_slt_arctic
particular,ɪ,arctic_a0002,cmu_us_slt_arctic
case,ɪ,arctic_a0002,cmu_us_slt_arctic
apologized,ɪ,arctic_a0002,cmu_us_slt_arctic
whittemore,ɪ,arctic_a0002,cmu_us_slt_arctic
light,ɪ,arctic_b0118,cmu_us_slt_arctic
and,æ,arctic_b0118,cmu_us_slt_arctic
mind,ɪ,arctic_b0118,cmu_us_slt_arctic
a,ɪ,arctic_b0118,cmu_us_slt_arctic
but,ʌ,arctic_b0259,cmu_us_slt_arctic
instead,ɪ,arctic_b0259,cmu_us_slt_arctic
of,ʌ,arctic_b0259,cmu_us_slt_arctic
speaking,ɪ,arctic_b0259,cmu_us_slt_arctic
a,ɪ,arctic_b0259,cmu_us_slt_arctic
sigh,ɪ,arctic_b0259,cmu_us_slt_arctic
i,ɪ,arctic_b0400,cmu_us_slt_arctic
answer,æ,arctic_b0400,cmu_us_slt_arctic
of,ʌ,arctic_b0400,cmu_us_slt_arctic
billinger,ɪ,arctic_b0119,cmu_us_slt_arctic
may,ɪ,arctic_b0119,cmu_us_slt_arctic
arrive,ɪ,arctic_b0119,cmu_us_slt_arctic
in,ɪ,arctic_b0119,cmu_us_slt_arctic
time,ɪ,arctic_b0119,cmu_us_slt_arctic
it,ɪ,arctic_b0260,cmu_us_slt_arctic
eight,ɪ,arctic_b0260,cmu_us_slt_arctic
give,ɪ,arctic_a0286,cmu_us_slt_arctic
choice,ɪ,arctic_a0286,cmu_us_slt_arctic
between,ɪ,arctic_a0286,cmu_us_slt_arctic
a,ɪ,arctic_a0286,cmu_us_slt_arctic
fine,ɪ,arctic_a0286,cmu_us_slt_arctic
an,æ,arctic_a0286,cmu_us_slt_arctic
official,ɪ,arctic_a0286,cmu_us_slt_arctic
whipping,ɪ,arctic_a0286,cmu_us_slt_arctic
behind,ɪ,arctic_a0570,cmu_us_slt_arctic
him,ɪ,arctic_a0570,cmu_us_slt_arctic
lay,ɪ,arctic_a0570,cmu_us_slt_arctic
years,ɪ,arctic_a0570,cmu_us_slt_arctic
siberia,ɪ,arctic_a0570,cmu_us_slt_arctic
and,æ,arctic_a0570,cmu_us_slt_arctic
russia,ʌ,arctic_a0570,cmu_us_slt_arctic
quick,ɪ,arctic_a0429,cmu_us_slt_arctic
was,ʌ,arctic_a0429,cmu_us_slt_arctic
disappointment,ɪ,arctic_a0429,cmu_us_slt_arctic
in,ɪ,arctic_a0429,cmu_us_slt_arctic
